UID,Course,Assignment,Grade,Date
Andrew32,Math,One,67,1000
Andrew32,Math,two,17,1010
Andrew33,Math,three,74,1020
Andrew34,Math,four,95,1030
Andrew35,Math,five,34,1040
ahariani829,Math,One,15,1000
ahariani829,Math,two,84,1010
ahariani829,Math,three,82,1020
ahariani829,Math,four,75,1030
ahariani829,Math,five,86,1040
akshayh983,Math,One,91,1000
akshayh983,Math,two,69,1010
akshayh983,Math,three,15,1020
akshayh983,Math,four,94,1030
akshayh983,Math,five,76,1040
akramk43,Math,One,26,1000
akramk43,Math,two,41,1010
akramk43,Math,three,89,1020
akramk43,Math,four,67,1030
akramk43,Math,five,28,1040
khajaman928,Math,One,27,1000
khajaman928,Math,two,27,1010
khajaman928,Math,three,22,1020
khajaman928,Math,four,23,1030
khajaman928,Math,five,87,1040
agargle10,Math,One,38,1000
agargle10,Math,two,64,1010
agargle10,Math,three,44,1020
agargle10,Math,four,28,1030
agargle10,Math,five,47,1040
amiwhat93,Math,One,97,1000
amiwhat93,Math,two,76,1010
amiwhat93,Math,three,47,1020
amiwhat93,Math,four,21,1030
amiwhat93,Math,five,44,1040
lilwayne982,Math,One,57,1000
lilwayne982,Math,two,78,1010
lilwayne982,Math,three,43,1020
lilwayne982,Math,four,67,1030
lilwayne982,Math,five,56,1040
akramk43,Math,One,15,1000
akramk43,Math,two,21,1010
akramk43,Math,three,95,1020
akramk43,Math,four,87,1030
akramk43,Math,five,71,1040
agarg932,Math,One,71,1000
agarg932,Math,two,72,1010
agarg932,Math,three,2,1020
agarg932,Math,four,51,1030
agarg932,Math,five,31,1040
nickiminaj932,Math,One,37,1000
nickiminaj932,Math,two,10,1010
nickiminaj932,Math,three,2,1020
nickiminaj932,Math,four,41,1030
nickiminaj932,Math,five,39,1040
david12,Math,One,17,1000
david12,Math,two,34,1010
david12,Math,three,80,1020
david12,Math,four,91,1030
david12,Math,five,97,1040
amiwhat93,Math,One,80,1000
amiwhat93,Math,two,43,1010
amiwhat93,Math,three,79,1020
amiwhat93,Math,four,12,1030
amiwhat93,Math,five,15,1040
whatis32,Math,One,73,1000
whatis32,Math,two,6,1010
whatis32,Math,three,1,1020
whatis32,Math,four,67,1030
whatis32,Math,five,8,1040
imastudent32,Math,One,8,1000
imastudent32,Math,two,15,1010
imastudent32,Math,three,19,1020
imastudent32,Math,four,6,1030
